id,attribut,valeur,ref,ean13,impactprix,impactpoids
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,LT.PERI:1,:2",662780,9003146627804,295.9,1.3734
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,VIOLET:1,:2",695138,9003146951381,295.9,1.4616
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,EMER:1,:2",696436,9003146964367,295.9,1.3194
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,DK.SAPPH:1,:2",943308,9003149433082,295.9,1.2636
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,GOL.SHADOW:2",982125,9003149821254,279.9,1.3734
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,SILVSHADE:2",982301,9003149823012,279.9,1.3734
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,SILVNIGHT:2",1134427,9007811344270,279.9,1.3734
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,BRONZSHADE:2",1186981,9007811869810,279.9,1.3734
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,SILK:1,:2",5014575,9009650145759,295.9,0.9414
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,LILAC:2",5039042,9009650390425,279.9,1.3734
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,SILVGLAZE:2",5101420,9009651014207,279.9,1.3734
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,ARCWHITE:1,:2",5284408,9009652844087,295.9,0.8406
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,CRYSTAL:1,:2",265822,9003142658222,230.9,1.3734
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,MED.SAPPH:1,:2",274042,9003142740422,295.9,1.377
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,LT.TOP.:1,:2",274041,9003142740415,295.9,1.3986
1,"Taille:select:0, Couleur:select:1, Effet:select:2","MM 14,0 (x1800):0,BORDEAUX:1,:2",274040,9003142740408,295.9,1.2816
