id,attribut,valeur,ref,ean13,impactprix,impactpoids
1,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,GOL.SHADOW:1",982125,9003149821254,279.9,1.3734
1,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,SILVSHADE:1",982301,9003149823012,279.9,1.3734
1,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,SILVNIGHT:1",1134427,9007811344270,279.9,1.3734
1,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,BRONZSHADE:1",1186981,9007811869810,279.9,1.3734
1,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,LILAC:1",5039042,9009650390425,279.9,1.3734
1,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,SILVGLAZE:1",5101420,9009651014207,279.9,1.3734
1,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,BL.AB:1",294794,9003142947944,279.9,1.3734
1,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,GOLD. TEAK:1",288049,9003142880494,279.9,1.3734
2,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,SILVSHADE:1",983973,9003149839730,279.9,0.925
2,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,GOL.SHADOW:1",983974,9003149839747,279.9,0.925
2,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,SILVNIGHT:1",1135034,9007811350349,279.9,0.925
2,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,BRONZSHADE:1",1186980,9007811869803,279.9,0.925
2,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,LILAC:1",5039047,9009650390470,279.9,0.925
2,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,SILVGLAZE:1",5101419,9009651014191,279.9,0.925
2,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,BL.AB:1",274045,9003142740453,279.9,0.925
2,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 14.0 (x1800):1,CRYSTAL:2,GOLD. TEAK:1",288048,9003142880487,279.9,0.925
13,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 40.0 (x40):1,CRYSTAL:2,GOL.SHADOW:1",982134,9003149821346,283.2,0.2
13,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 30.0 (x48):1,CRYSTAL:2,GOL.SHADOW:1",987871,9003149878715,179.2,-1.968
13,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 40.0 (x40):1,CRYSTAL:2,GOLD. TEAK:1",889227,9003148892279,283.2,0.2
13,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 30.0 (x48):1,CRYSTAL:2,GOLD. TEAK:1",679428,9003146794285,179.2,-1.968
13,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 40.0 (x40):1,CRYSTAL:2,BL.AB:1",262035,9003142620359,283.2,-0.52
13,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 40.0 (x40):1,CRYSTAL:2,SILVGLAZE:1",5101422,9009651014221,283.2,0.2
13,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 30.0 (x48):1,CRYSTAL:2,SILVGLAZE:1",5101421,9009651014214,179.2,-1.968
13,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 30.0 (x48):1,CRYSTAL:2,BL.AB:1",262029,9003142620298,179.2,-1.968
13,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 20.0 (x144):1,CRYSTAL:2,BL.AB:1",262027,9003142620274,333.2,-2.304
16,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 40.0X 11.0 (x336):1,CRYSTAL:2,GOL.SHADOW:1",1136566,9007811365664,85,0
16,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 40.0X 11.0 (x336):1,CRYSTAL:2,GOLD. TEAK:1",681160,9003146811609,85,0
16,"Taille:select:1, Couleur:select:2, Effet:select:1","MM 50.0X 14.0 (x150):1,CRYSTAL:2,GOLD. TEAK:1",657377,9003146573774,34,-0.216
