id,name,description,prix,poids
1,8044,"Bobeche / 4-hole",281,0.2088
2,8048,"Bobeche / 5-hole",206,0.08502
3,8060,"Center Part",160,0.2772
4,8061,"Center Part",126,0.448
5,8063,"Center Part",163,0.08572
6,8065,"Center Part",450,1.3248
7,8114,"Octagon Lily / No hole",149,0.02206
8,8115,"Octagon Lily / 1-hole",75.1,0.0255
9,8116,"Octagon Lily / 2-hole",75.1,0.0255
10,8117,"Octagon Lily / 3-hole",303,0.0255
11,8118,"Octagon Lily / 4-hole",303,0.0255
12,8124,"Square Stone / 4-hole",75.4,0.447
13,8124/G,"/G Square Stone / 4-hole",212,7.132
14,8125,"Square Stone",131,2.433
15,8125/G,"/G Square Stone",173,3.6477
16,8126,"Square Stone / 2-hole",131,2.484
17,8126/G,"/G Square Stone / 2-hole",173,3.612
18,8269,"Drop Combination",128,0.3396
19,8305,"Prism / 1-hole",494,3.591
20,8321,"Prism / 1-hole",442,3.206
21,8322,"Prism / 2-hole",442,3.388
22,8450,"Coffin Stone / 2-hole",155,1.02
23,8451,"Coffin Stone / 1-hole",304,4.6314
24,8470,Bobeche,281,0.456
25,8502,Bead,233,0.02355
26,8505,Bead,476,0.05268
27,8543,"Long hole Bead",604,0.0238
28,8546,"Dice Bead",150,3.381
29,8547,"Vibrant Bead",284,3.20688
30,8548,Cube,138,7.6328
31,8558,"Ball 224 Facets (20 mm - 168 Facets)",19.8,0.0178
32,8558/G,"/G Ball 224 Facets (20 mm - 168 Facets)",199,1.152
33,8560,"Cone Stone",162,0.73584
34,8601,Drop,123,2.94
35,8611,Drop,212,0.02412
36,8621,Drop,218,2.619
37,8641,Drop,373,13.746
38,8671,"Hexagonal Prism",227,0.6912
39,8721,"Pear Shape",87,0.02906
40,8731,"Pear Shape",186,0.876
41,8741,"Pear Shape",121,0.204
42,8745,"Oval Pear Shape / 1-hole",237,2.448
43,8746,"Oval Pear Shape / 2-hole",237,2.6919
44,8755,"Kite Pear Shape",420,3.6477
45,8755/G,"/G Kite Pear Shape",485,3.6477
46,8806,"New Leaf",174,1.25376
47,8833,"Triangle /3-hole",259,2.2925
48,8901,Pendeloque,85,0.0688
49,8904,Pendeloque,169,0.32418
50,8908,"Arabesque Pendeloque",89,0.12972
51,8930,Pendeloque,159,0.02712
52,8950,"Bird Wing",63,0.03168
53,8950/G,"/G Sun/1-hole",332,3.237
54,8951,"Glaciarium Prism Frame/ 2-hole By F&S",47.8,0.0506
55,8983,"Moravian Star",44.7,0
56,8984,Finial,234,0.189
