id,attribut,valeur,ref,impactprix,impactpoids,
1,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"90 (x12):1,Crystal:0,Standard:1",159523,0,0
2,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"75 (x12):1,Crystal:0,Standard:1",5081769,6,0.00414
2,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"90 (x9):1,Crystal:0,Standard:1",5081770,0,0.01686
2,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"110 (x6):1,Crystal:0,Standard:1",5081772,15,0
3,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"50 (x12):1,Crystal:0,Standard:1",159524,0,0
3,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"50 (x12):1,Crystal:0,Standard:1",159486,0,0
4,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x39 (x20):1,Crystal:0,Standard:1",159487,0,0
5,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"80 (x4):1,Crystal:0,Standard:1",160444,0,0
6,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"55 (x36):1,Crystal:0,Standard:1",159525,0,0.0792
6,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"55 (x36):1,Crystal:0,Standard:1",159490,0,0
7,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"175 (x1):1,Crystal:0,Standard:1",5256819,0,0
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"12 (x2.6):1,Crystal:0,Standard:1",265953,371.9,0.03368
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Antique Green:0,Standard:1",274034,295.9,0.0083
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Blue Violet:0,Standard:1",627120,295.9,0.00982
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Bordeaux:0,Standard:1",274035,295.9,0.00733
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Crystal:0,Standard:1",265954,230.9,0.00827
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Arctic White:0,Standard:1",5284407,295.9,0.00283
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Dark Sapphire:0,Standard:1",943307,295.9,0.00713
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Emerald:0,Standard:1",696435,295.9,0.00771
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Jet:0,Standard:1",632236,295.9,0.00861
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Light Peridot:0,Standard:1",662779,295.9,0.00827
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Light Topaz:0,Standard:1",274036,295.9,0.00852
8,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Medium Sapphire:0,Standard:1",274037,295.9,0.0083
