id,attribut,valeur,ref,impactprix,impactpoids
2,"Taille:select:1, Couleur:select:2, Effet:select:0","75 (x12):1,Crystal:2,Golden Shadow:0",5100417,41,0.00414
2,"Taille:select:1, Couleur:select:2, Effet:select:0","75 (x12):1,Crystal:2,Silver Glaze:0",5101417,41,0.00414
2,"Taille:select:1, Couleur:select:2, Effet:select:0","90 (x9):1,Crystal:2,Golden Shadow:0",5100418,34,0.01686
2,"Taille:select:1, Couleur:select:2, Effet:select:0","90 (x9):1,Crystal:2,Silver Glaze:0",5101418,34,0.01686
2,"Taille:select:1, Couleur:select:2, Effet:select:0","110 (x6):1,Crystal:2,Golden Shadow:0",5100419,51,0
2,"Taille:select:1, Couleur:select:2, Effet:select:0","110 (x6):1,Crystal:2,Silver Glaze:0",5101416,51,0
8,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Blue AB:0",274045,279.9,0.00827
8,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Bronze Shade:0",1186980,279.9,0.00827
8,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Golden Shadow:0",983974,279.9,0.00827
8,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Golden Teak:0",288048,279.9,0.00827
8,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Lilac:0",5039047,279.9,0.00827
8,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Silver Glaze:0",5101419,279.9,0.00827
8,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Silver Night:0",1135034,279.9,0.00827
8,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Silver Shade:0",983973,279.9,0.00827
9,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Blue AB:0",294794,279.9,0.00623
9,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Bronze Shade:0",1186981,279.9,0.00623
9,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Golden Shadow:0",982125,279.9,0.00623
9,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Golden Teak:0",288049,279.9,0.00623
9,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Lilac:0",5039042,279.9,0.00623
9,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Silver Glaze:0",5101420,279.9,0.00623
9,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Silver Night:0",1134427,279.9,0.00623
9,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1.8):1,Crystal:2,Silver Shade:0",982301,279.9,0.00623
20,"Taille:select:1, Couleur:select:2, Effet:select:0","63x22 (x125):1,Crystal:2,Golden Teak:0",859916,129,1.07775
20,"Taille:select:1, Couleur:select:2, Effet:select:0","76x22 (x100):1,Crystal:2,Golden Teak:0",854284,69,0
21,"Taille:select:1, Couleur:select:2, Effet:select:0","63x22 (x125):1,Crystal:2,Golden Teak:0",668597,129,0.7995
21,"Taille:select:1, Couleur:select:2, Effet:select:0","76x22 (x100):1,Crystal:2,Golden Teak:0",632888,69,0
25,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1.792):1,Crystal:2,Blue AB:0",187449,327,0.00571
25,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1.792):1,Crystal:2,Golden Teak:0",877003,327,0.00571
31,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Crystal:2,Blue AB:0",262027,333.2,3.06524
31,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Crystal:2,Blue AB:0",262029,179.2,1.1342
31,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Crystal:2,Golden Shadow:0",987871,179.2,1.1342
31,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Crystal:2,Golden Teak:0",679428,179.2,1.1342
31,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Crystal:2,Silver Glaze:0",5101421,179.2,1.1342
31,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Crystal:2,Blue AB:0",262035,283.2,1.5046
31,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Crystal:2,Golden Shadow:0",982134,283.2,1.7906
31,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Crystal:2,Golden Teak:0",889227,283.2,1.7906
