"Ean";"ref";"nom";"descrip";"Pack Size";"Gross weight";"";"price per pricing unit";""
"9003142069806";"206980";"A 8999 NR 007 685";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"30";"2.127";"";"1330";""
"9003142008829";"200882";"A 8999 NR 005 813";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"30";"2.12";"";"1360";""
"9003141918037";"191803";"A 8999 NR 102 301 TRADITIONEL PIN IN BRASS";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"7000";"1.064";"";"18.01";""
"9003141170473";"117047";"A 8999 NR 109 112 PLAIN CLIP 11 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"9600";"1.008";"";"23.08";""
"9003141918235";"191823";"A 8999 NR 121 113 FINAL CLIP";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"5000";"1.82";"";"447.78";""
"9003141862873";"186287";"A 8999 NR 111 092 RING 9 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"8000";"1";"";"19.57";""
"9003141524542";"152454";"A 8999 NR 110 071 C-SHAPE PIN 7,5";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"12800";"1.011";"";"26.34";""
"9003141167305";"116730";"A 8999 NR 104 101 CONNECTOR 10,5 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"4500";"1.008";"";"20.88";""
"9003141167893";"116789";"A 8999 NR 107 121 HANGER 12 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"6550";"1.008";"";"25.24";""
"9003141167923";"116792";"A 8999 NR 107 151 HANGER 15 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"4200";"1.008";"";"23.55";""
"9003141168050";"116805";"A 8999 NR 102 352 TRADITIONEL PIN 35MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"6000";"1.062";"";"30.05";""
"9003141168074";"116807";"A 8999 NR 112 131 PEAR-CLIP";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"5000";"0.89";"";"112.09";""
"9003141168159";"116815";"A 8999 NR 102 351 TRADITIONEL PIN 35MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"6000";"1.062";"";"22.43";""
"9003141169606";"116960";"A 8999 NR 109 081 PLAIN CLIP 8 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"11400";"1.003";"";"39.62";""
"9003141169620";"116962";"A 8999 NR 109 171 PLAIN CLIP 17 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"4830";"1.009";"";"20.59";""
"9003141169705";"116970";"A 8999 NR 109 111PLAIN CLIP 11 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"9600";"1.008";"";"21.07";""
"9003141172453";"117245";"A 8999 NR 161 002 MOUNTING/ART. 8269";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"50";"0.116";"";"6.8";""
"9003141172972";"117297";"A 8999 NR 104 132 CONNECTOR 13 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"3700";"1.006";"";"22.69";""
"9003141172989";"117298";"A 8999 NR 107 122 HANGER 12 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"6550";"1.008";"";"27.58";""
