id,attribut,valeur,ref,impactprix,impactpoids,qtt
3,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 20.0                (x1220):1,CRYSTAL  :2,:0",1067326,993,0.74,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0 ",":1,:2,:0",1067330,711,-1.631,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0 ",":1,:2,:0",1067322,1073,-1.631,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0 ",":1,:2,:0",1067325,943,-1.631,10
5,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 34.0                (x985):1,CRYSTAL  :2,:0",1068463,0,0,10
5,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 34.0                (x113):1,CRYSTAL  :2,:0",1068464,14.5,0,10
5,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 34.0                (x985):1,CRYSTAL  :2,:0",1068465,0,0,10
6,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 62.0                (x202):1,CRYSTAL  :2,:0",1072845,26,0,10
6,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 62.0                (x176):1,CRYSTAL  :2,:0",1072844,0,0,10
6,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 62.0                (x176):1,CRYSTAL  :2,:0",1072846,0,0,10
7,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 25.0                (x103):1,CRYSTAL  :2,:0",5200735,0,0,10
7,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 25.0                (x103):1,CRYSTAL  :2,:0",5200737,0,0,10
7,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 25.0                (x118):1,CRYSTAL  :2,:0",5200733,15,0,10
7,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 50.0                (x162):1,CRYSTAL  :2,:0",5200739,59,1.78,10
7,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 50.0                (x162):1,CRYSTAL  :2,:0",5200740,59,1.78,10
7,"Taille:select:1, Couleur:select:2, Effet:select:0 ","MM 50.0                (x186):1,CRYSTAL  :2,:0",5200738,83,1.78,10
17,"Taille:select:1, Couleur:select:2, Effet:select:0 ",":1,:2,:0",1067471,0,0,10
23,"Taille:select:1, Couleur:select:2, Effet:select:0 ","90 (x12):1,Crystal:2,:0",159523,0,0,10
24,"Taille:select:1, Couleur:select:2, Effet:select:0 ","75 (x12):1,Crystal:2,:0",5081769,6,0,10
24,"Taille:select:1, Couleur:select:2, Effet:select:0 ","90 (x9):1,Crystal:2,:0",5081770,0,0.389,10
24,"Taille:select:1, Couleur:select:2, Effet:select:0 ","110 (x6):1,Crystal:2,:0",5081772,15,0.674,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x12):1,Crystal:2,:0",159524,0,0,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x12):1,Crystal:2,:0",159486,0,0,10
26,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x39 (x20):1,Crystal:2,:0",159487,0,0,10
27,"Taille:select:1, Couleur:select:2, Effet:select:0 ","80 (x4):1,Crystal:2,:0",160444,0,0,10
28,"Taille:select:1, Couleur:select:2, Effet:select:0 ","55 (x36):1,Crystal:2,:0",159525,0,0.22,10
28,"Taille:select:1, Couleur:select:2, Effet:select:0 ","55 (x36):1,Crystal:2,:0",159490,0,0,10
29,"Taille:select:1, Couleur:select:2, Effet:select:0 ","175 (x1):1,Crystal:2,:0",5256819,0,0,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","12 (x26):1,Crystal:2,:0",265953,371.9,1.159,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Crystal:2,:0",265954,230.9,1.577,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x1):1,Crystal:2,:0",265955,227.9,0.75,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x600):1,Crystal:2,:0",265966,156.9,0.36,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x420):1,Crystal:2,:0",265970,133.9,0.42,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x350):1,Crystal:2,:0",265971,152.9,0.66,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x300):1,Crystal:2,:0",265973,180.9,1,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","26 (x240):1,Crystal:2,:0",265977,169.9,0.923,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28 (x150):1,Crystal:2,:0",265981,103.9,0.46,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x125):1,Crystal:2,:0",265984,103.9,0.632,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x56):1,Crystal:2,:0",265986,126.9,0.56,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x20):1,Crystal:2,:0",265987,0,0,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","60 (x20):1,Crystal:2,:0",265988,56.9,0.925,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Antique Green:2,:0",274034,295.9,1.58,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Blue Violet:2,:0",627120,295.9,1.732,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Bordeaux:2,:0",274035,295.9,1.483,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Dark Sapphire:2,:0",943307,295.9,1.463,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Emerald:2,:0",696435,295.9,1.521,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Jet:2,:0",632236,295.9,1.611,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Light Peridot:2,:0",662779,295.9,1.577,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Light Topaz:2,:0",274036,295.9,1.602,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Medium Sapphire:2,:0",274037,295.9,1.58,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Rosaline:2,:0",274038,295.9,1.58,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Silk:2,:0",5039147,295.9,1.136,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Topaz:2,:0",627126,295.9,0.954,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Violet:2,:0",695137,295.9,1.665,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Arctic White:2,:0",5284407,295.9,1.033,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x3):1,Crystal:2,:0",265809,437.9,0.246,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","12 (x26):1,Crystal:2,:0",265814,371.9,1.052,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Crystal:2,:0",265822,230.9,1.373,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x1):1,Crystal:2,:0",265830,227.9,0.75,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x600):1,Crystal:2,:0",265837,156.9,0.38,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x420):1,Crystal:2,:0",265840,133.9,0.42,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x350):1,Crystal:2,:0",265844,152.9,0.54,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x300):1,Crystal:2,:0",265845,180.9,0.84,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","26 (x240):1,Crystal:2,:0",265938,169.9,0.78,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28 (x150):1,Crystal:2,:0",265939,103.9,0.46,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x125):1,Crystal:2,:0",265940,103.9,0.587,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","32 (x125):1,Crystal:2,:0",265773,143.9,1.04,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","34 (x100):1,Crystal:2,:0",265942,133.9,0.91,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","36 (x80):1,Crystal:2,:0",265943,124.9,0.68,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","38 (x80):1,Crystal:2,:0",265945,168.9,1.08,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x56):1,Crystal:2,:0",265946,126.9,0.56,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x20):1,Crystal:2,:0",265947,0,0,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","60 (x20):1,Crystal:2,:0",265941,56.9,0.925,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Antique Green:2,:0",274039,295.9,1.379,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Blue Violet:2,:0",627121,295.9,1.526,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Bordeaux:2,:0",274040,295.9,1.283,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Dark Sapphire:2,:0",943308,295.9,1.264,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Emerald:2,:0",696436,295.9,1.321,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Jet:2,:0",626064,295.9,1.409,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Light Peridot:2,:0",662780,295.9,1.373,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Light Topaz:2,:0",274041,295.9,1.4,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Medium Sapphire:2,:0",274042,295.9,1.379,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Rosaline:2,:0",274043,295.9,1.379,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Silk:2,:0",5014575,295.9,0.941,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Topaz:2,:0",627127,295.9,0.765,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Violet:2,:0",695138,295.9,1.462,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Arctic White:2,:0",5284408,295.9,0.841,10
32,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x18):1,Crystal:2,:0",265989,3,0.568,10
32,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x1):1,Crystal:2,:0",265991,0,0,10
33,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x1):1,Crystal:2,:0",266000,0,0,10
34,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x800):1,Crystal:2,:0",5191369,158.6,0.594,10
34,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x540):1,Crystal:2,:0",5191371,120.6,0.35,10
34,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x400):1,Crystal:2,:0",5191373,106.6,0.293,10
34,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x280):1,Crystal:2,:0",5191375,82.6,0.485,10
34,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,:0",5191378,72.6,0.23,10
