id,attribut,valeur,ref,impactprix,impactpoids,qtt
1,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 20.0           (x384):1,CRYSTAL  :2,CVZSI                           :0",1067320,245,0.382,10
1,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 30.0       (x226):1,CRYSTAL  :2,CVZSI                           :0",1067349,87,0.67,10
1,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 40.0      (x333):1,CRYSTAL  :2,CVZSI                           :0",1067350,194,2.76,10
1,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 50.0  (x196):1,CRYSTAL  :2,CVZSI                           :0",1067351,57,0.658,10
1,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 60.0                (x139):1,CRYSTAL  :2,CVZSI                           :0",1067352,0,0,10
2,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 30.0                (x226):1,CRYSTAL  :2,CVZSI                           :0",1067329,30,0,10
2,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 40.0                (x333):1,CRYSTAL  :2,CVZSI                           :0",1067337,137,1.914,10
2,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 50.0                (x196):1,CRYSTAL  :2,CVZSI                           :0",1067353,0,0.45,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 14.0                (x1300):1,CRYSTAL  :2,CASI   :0",1067321,1073,0,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 20.0                (x1170):1,CRYSTAL  :2,CASI :0",1067324,943,0.716,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 30.0                (x938):1,CRYSTAL  :2,CAVSI  :0",1067331,711,1.379,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 40.0                (x506):1,CRYSTAL  :2,CAVSI  :0",1067338,279,1.959,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 50.0                (x227):1,CRYSTAL  :2,CAVSI  :0",1067354,0,0.965,10
4,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 50.0                (x227):1,CRYSTAL  :2,CAVSI  :0",1067356,0,0,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 34.0                (x123):1,CRYSTAL  :2,MD305  :0",5292448,15,0,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 34.0                (x108):1,CRYSTAL  :2,MD302  :0",5292436,0,0,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0","MM 34.0                (x108):1,CRYSTAL  :2,MD304  :0",5292440,0,0,10
