Article,Size,Color,Effects,,Price per PU,Currency,PU,Gross Weight,Net Weight,Systemno.
7100,"MM 20,0          ",CRYSTAL  ,CVZSI                           ,,384,EUR  ,144,2312,1898,1067320
7100,"MM 30,0      ",CRYSTAL  ,CVZSI                           ,,226,EUR  ,48,2600,2093,1067349
7100,"MM 40,0     ",CRYSTAL  ,CVZSI                           ,,333,EUR  ,40,4690,4360,1067350
7100,"MM 50,0 ",CRYSTAL  ,CVZSI                           ,,196,EUR  ,12,2588,2306,1067351
7100,"MM 60,0               ",CRYSTAL  ,CVZSI                           ,,139,EUR  ,5,1930,1510,1067352
7110,"MM 30,0               ",CRYSTAL  ,CVZSI                           ,,226,EUR  ,48,2150,1795,1067329
7110,"MM 40,0               ",CRYSTAL  ,CVZSI                           ,,333,EUR  ,40,4064,3837,1067337
7110,"MM 50,0               ",CRYSTAL  ,CVZSI                           ,,196,EUR  ,12,2600,2270,1067353
7120,"MM 14,0               ",CRYSTAL  ,CASI   ,,1300,EUR  ,560,1631,1176,1067321
7120,"MM 20,0               ",CRYSTAL  ,CASI ,,1170,EUR  ,300,2347,1905,1067324
7120,"MM 20,0               ",CRYSTAL  ,,,1220,EUR  ,300,2371,1929,1067326
7120,"MM 30,0               ",CRYSTAL  ,CAVSI  ,,938,EUR  ,120,3010,2525,1067331
7120,"MM 40,0               ",CRYSTAL  ,CAVSI  ,,506,EUR  ,60,3590,3148,1067338
7120,"MM 50,0               ",CRYSTAL  ,CAVSI  ,,227,EUR  ,24,2596,2292,1067354
7130,"MM 50,0               ",CRYSTAL  ,CAVSI  ,,227,EUR  ,24,2304,2018,1067356
7150,"MM 34,0               ",CRYSTAL  ,,,113,EUR  ,5,"0,78",385,1068464
7150,"MM 34,0               ",CRYSTAL  ,,,"98,5",EUR  ,5,"0,78",385,1068463
7150,"MM 34,0               ",CRYSTAL  ,,,"98,5",EUR  ,5,"0,78",385,1068465
7151,"MM 62,0               ",CRYSTAL  ,,,202,EUR  ,5,2375,1980,1072845
7151,"MM 62,0               ",CRYSTAL  ,,,176,EUR  ,5,2375,1980,1072844
7151,"MM 62,0               ",CRYSTAL  ,,,176,EUR  ,5,2375,1980,1072846
7152,"MM 25,0               ",CRYSTAL  ,,81,118,EUR  ,5,"0,82",425,5200733
7152,"MM 25,0               ",CRYSTAL  ,,82,103,EUR  ,5,"0,82",425,5200735
7152,"MM 25,0               ",CRYSTAL  ,,88,103,EUR  ,5,"0,82",425,5200737
7152,"MM 50,0               ",CRYSTAL  ,,81,186,EUR  ,5,2600,2450,5200738
7152,"MM 50,0               ",CRYSTAL  ,,82,162,EUR  ,5,2600,2450,5200739
7152,"MM 50,0               ",CRYSTAL  ,,88,162,EUR  ,5,2600,2450,5200740
7153,"MM 34,0               ",CRYSTAL  ,AB,82,113,EUR  ,5,"0,78",470,5236339
7153,"MM 34,0               ",CRYSTAL  ,CHROM  ,82,113,EUR  ,5,"0,78",470,5236340
