EAN/UPC-Code,Material,Article,Size,Colour,Effect,Foiling,Motiv ,Description,custom code,origin,packing unit size (pcs),Brutto weight,,Net weight,,price per packing unit,
9003146627804,662780,8116,"MM 14,0",LT.PERI,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,391,EUR
9003146951374,695137,8115,"MM 14,0",VIOLET,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1925,408",MG,"1593,377",MG,391,EUR
9003146951381,695138,8116,"MM 14,0",VIOLET,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1812,413",MG,"1564,219",MG,391,EUR
9003146964350,696435,8115,"MM 14,0",EMER,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1845,356",MG,"1513,325",MG,391,EUR
9003146964367,696436,8116,"MM 14,0",EMER,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1733,826",MG,"1485,631",MG,391,EUR
9003149433075,943307,8115,"MM 14,0",DK.SAPPH,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1813,239",MG,"1481,208",MG,391,EUR
9003149433082,943308,8116,"MM 14,0",DK.SAPPH,,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1702,297",MG,"1454,102",MG,391,EUR
9003149821254,982125,8116,"MM 14,0",CRYSTAL,GOL.SHADOW,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,375,EUR
9003149823012,982301,8116,"MM 14,0",CRYSTAL,SILVSHADE,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,375,EUR
9003149839730,983973,8115,"MM 14,0",CRYSTAL,SILVSHADE,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,375,EUR
9003149839747,983974,8115,"MM 14,0",CRYSTAL,GOL.SHADOW,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1875,556",MG,"1543,524",MG,375,EUR
9009650760242,5076024,,,,,,,LE-LB ALL OCTAGONS 14MM,,,0,0,KG,0,KG,0,
9007811344270,1134427,8116,"MM 14,0",CRYSTAL,SILVNIGHT,,,LE-LB ALL OCTAGONS 14MM,94059110,AT,1800,"1763,472",MG,"1515,278",MG,375,EUR
